Crop,Season,State,Annual_Rainfall,Fertilizer,Pesticide
Groundnut,Rabi       ,Goa,4406,34710.8,74.9
Other  Rabi pulses,Rabi       ,Goa,4406,978552.6,2111.55
Other Kharif pulses,Kharif     ,Goa,4406,27574,59.5
Rice,Kharif     ,Goa,4406,4191410.2,9044.35
Rice,Rabi       ,Goa,4406,1710074.6,3690.05
Sugarcane,Whole Year ,Goa,4406,144033.6,310.8
Sweet potato,Whole Year ,Goa,4406,8921,19.25
other oilseeds,Whole Year ,Goa,4406,136410.2,294.35
Arecanut,Whole Year ,Karnataka,1419.1,77268511.6,166732.3
Arhar/Tur,Kharif     ,Karnataka,1419.1,253142296,546238
Bajra,Kharif     ,Karnataka,1419.1,31306222,67553.5
Bajra,Summer     ,Karnataka,1419.1,229999.6,496.3
Black pepper,Whole Year ,Karnataka,1419.1,24067073.8,51932.65
Cardamom,Whole Year ,Karnataka,1419.1,291960,630
Cashewnut,Whole Year ,Karnataka,1419.1,7670924.6,16552.55
Castor seed,Kharif     ,Karnataka,1419.1,429830,927.5
Coconut ,Whole Year ,Karnataka,1419.1,98979954.8,213581.9
Coriander,Whole Year ,Karnataka,1419.1,473299.6,1021.3
Cotton(lint),Kharif     ,Karnataka,1419.1,115791173.8,249857.65
Cotton(lint),Rabi       ,Karnataka,1419.1,731035.4,1577.45
Cowpea(Lobia),Kharif     ,Karnataka,1419.1,7502885.4,16189.95
Cowpea(Lobia),Rabi       ,Karnataka,1419.1,1906823.2,4114.6
Cowpea(Lobia),Summer     ,Karnataka,1419.1,648151.2,1398.6
Dry chillies,Kharif     ,Karnataka,1419.1,25560611.4,55155.45
Garlic,Whole Year ,Karnataka,1419.1,649773.2,1402.1
Ginger,Whole Year ,Karnataka,1419.1,2572167.6,5550.3
Gram,Rabi       ,Karnataka,1419.1,192776646.4,415979.2
Groundnut,Kharif     ,Karnataka,1419.1,64514239,139210.75
Groundnut,Rabi       ,Karnataka,1419.1,448645.2,968.1
Groundnut,Summer     ,Karnataka,1419.1,22806942,49213.5
Horse-gram,Kharif     ,Karnataka,1419.1,6096935.8,13156.15
Horse-gram,Rabi       ,Karnataka,1419.1,23827504.4,51415.7
Jowar,Kharif     ,Karnataka,1419.1,18568493.8,40067.65
Jowar,Rabi       ,Karnataka,1419.1,142316550.8,307094.9
Jowar,Summer     ,Karnataka,1419.1,301529.8,650.65
Linseed,Rabi       ,Karnataka,1419.1,276388.8,596.4
Maize,Kharif     ,Karnataka,1419.1,210219472.2,453617.85
Maize,Rabi       ,Karnataka,1419.1,15184839.6,32766.3
Maize,Summer     ,Karnataka,1419.1,3182526.2,6867.35
Mesta,Whole Year ,Karnataka,1419.1,13138.2,28.35
Moong(Green Gram),Kharif     ,Karnataka,1419.1,70856259,152895.75
Moong(Green Gram),Rabi       ,Karnataka,1419.1,956655.6,2064.3
Moong(Green Gram),Summer     ,Karnataka,1419.1,39901.2,86.1
Niger seed,Kharif     ,Karnataka,1419.1,173229.6,373.8
Onion,Kharif     ,Karnataka,1419.1,31329903.2,67604.6
Onion,Rabi       ,Karnataka,1419.1,2723013.6,5875.8
Onion,Summer     ,Karnataka,1419.1,594463,1282.75
Other  Rabi pulses,Rabi       ,Karnataka,1419.1,2269015.8,4896.15
Other Kharif pulses,Kharif     ,Karnataka,1419.1,4602425,9931.25
Potato,Kharif     ,Karnataka,1419.1,3466538.4,7480.2
Potato,Rabi       ,Karnataka,1419.1,1051380.4,2268.7
Potato,Summer     ,Karnataka,1419.1,66502,143.5
Ragi,Kharif     ,Karnataka,1419.1,83493423.2,180164.6
Ragi,Rabi       ,Karnataka,1419.1,5890779.6,12711.3
Ragi,Summer     ,Karnataka,1419.1,693567.2,1496.6
Rapeseed &Mustard,Kharif     ,Karnataka,1419.1,514498.4,1110.2
Rice,Kharif     ,Karnataka,1419.1,168227027.6,363005.3
Rice,Rabi       ,Karnataka,1419.1,1855892.4,4004.7
Rice,Summer     ,Karnataka,1419.1,24491064.6,52847.55
Safflower,Rabi       ,Karnataka,1419.1,2760644,5957
Sannhamp,Whole Year ,Karnataka,1419.1,58067.6,125.3
Sesamum,Kharif     ,Karnataka,1419.1,4018667.2,8671.6
Small millets,Kharif     ,Karnataka,1419.1,3118943.8,6730.15
Soyabean,Kharif     ,Karnataka,1419.1,42472881,91649.25
Sugarcane,Whole Year ,Karnataka,1419.1,80440170.4,173576.2
Sunflower,Kharif     ,Karnataka,1419.1,15480692.4,33404.7
Sunflower,Rabi       ,Karnataka,1419.1,7532405.8,16253.65
Sunflower,Summer     ,Karnataka,1419.1,443454.8,956.9
Sweet potato,Whole Year ,Karnataka,1419.1,816190.4,1761.2
Tapioca,Whole Year ,Karnataka,1419.1,102997,222.25
Tobacco,Whole Year ,Karnataka,1419.1,10354848,22344
Turmeric,Whole Year ,Karnataka,1419.1,4311113.8,9302.65
Urad,Kharif     ,Karnataka,1419.1,13802246.8,29782.9
Urad,Rabi       ,Karnataka,1419.1,452051.4,975.45
Urad,Summer     ,Karnataka,1419.1,164470.8,354.9
Wheat,Rabi       ,Karnataka,1419.1,25550555,55133.75
Arecanut,Whole Year ,Kerala,2989.7,15528912.84,33508.7515
Arhar/Tur,Whole Year ,Kerala,2989.7,43145.2,93.1
Banana,Whole Year ,Kerala,2989.7,8580154.542,18514.5135
Black pepper,Whole Year ,Kerala,2989.7,13423900.7,28966.4935
Cardamom,Whole Year ,Kerala,2989.7,6306660.4,13608.7
Cashewnut,Whole Year ,Kerala,2989.7,6290223.052,13573.231
Coconut ,Whole Year ,Kerala,2989.7,123425572.6,266331.3835
Cotton(lint),Whole Year ,Kerala,2989.7,9634.68,20.79
Garlic,Whole Year ,Kerala,2989.7,11290.742,24.3635
Ginger,Whole Year ,Kerala,2989.7,531219.598,1146.2815
Gram,Whole Year ,Kerala,2989.7,112057.492,241.801
Groundnut,Whole Year ,Kerala,2989.7,30380.06,65.555
Jowar,Whole Year ,Kerala,2989.7,33251,71.75
Maize,Whole Year ,Kerala,2989.7,16921.6772,36.5141
Onion,Whole Year ,Kerala,2989.7,845.062,1.8235
Other Kharif pulses,Kharif     ,Kerala,2989.7,248624.3772,536.4891
Potato,Whole Year ,Kerala,2989.7,87085.18,187.915
Ragi,Whole Year ,Kerala,2989.7,36446.34,78.645
Rice,Autumn     ,Kerala,2989.7,9848534.212,21251.461
Rice,Summer     ,Kerala,2989.7,7924813.016,17100.398
Rice,Winter     ,Kerala,2989.7,14346504.03,30957.3145
Sesamum,Whole Year ,Kerala,2989.7,61255.9654,132.17995
Small millets,Whole Year ,Kerala,2989.7,7704.5,16.625
Sugarcane,Whole Year ,Kerala,2989.7,164126.936,354.158
Sweet potato,Whole Year ,Kerala,2989.7,34128.502,73.6435
Tapioca,Whole Year ,Kerala,2989.7,10035988.75,21655.956
Tobacco,Whole Year ,Kerala,2989.7,1180.816,2.548
Turmeric,Whole Year ,Kerala,2989.7,402857.762,869.2985
Wheat,Whole Year ,Kerala,2989.7,227.08,0.49
Arecanut,Whole Year ,Tamil Nadu,986.2,1127614.4,2433.2
Arhar/Tur,Kharif     ,Tamil Nadu,986.2,6711998.2,14483.35
Bajra,Kharif     ,Tamil Nadu,986.2,5045879.8,10888.15
Bajra,Rabi       ,Tamil Nadu,986.2,2558380.6,5520.55
Banana,Whole Year ,Tamil Nadu,986.2,14194770.8,30629.9
Black pepper,Whole Year ,Tamil Nadu,986.2,903616.2,1949.85
Cardamom,Whole Year ,Tamil Nadu,986.2,622523.6,1343.3
Cashewnut,Whole Year ,Tamil Nadu,986.2,13831118.4,29845.2
Castor seed,Kharif     ,Tamil Nadu,986.2,771423.2,1664.6
Coconut ,Whole Year ,Tamil Nadu,986.2,71326639,153910.75
Coriander,Whole Year ,Tamil Nadu,986.2,1042459.4,2249.45
Cotton(lint),Kharif     ,Tamil Nadu,986.2,11357730.6,24508.05
Cotton(lint),Rabi       ,Tamil Nadu,986.2,10526617.8,22714.65
Cowpea(Lobia),Kharif     ,Tamil Nadu,986.2,7282293.4,15713.95
Cowpea(Lobia),Rabi       ,Tamil Nadu,986.2,3241567,6994.75
Dry chillies,Whole Year ,Tamil Nadu,986.2,7452927.8,16082.15
Garlic,Whole Year ,Tamil Nadu,986.2,235027.8,507.15
Ginger,Whole Year ,Tamil Nadu,986.2,61149.4,131.95
Gram,Rabi       ,Tamil Nadu,986.2,949032.2,2047.85
Groundnut,Kharif     ,Tamil Nadu,986.2,31879274.6,68790.05
Groundnut,Rabi       ,Tamil Nadu,986.2,22538014.4,48633.2
Horse-gram,Kharif     ,Tamil Nadu,986.2,656099,1415.75
Horse-gram,Rabi       ,Tamil Nadu,986.2,11906777.6,25692.8
Jowar,Kharif     ,Tamil Nadu,986.2,29610258.8,63893.9
Jowar,Rabi       ,Tamil Nadu,986.2,32973313.6,71150.8
Maize,Kharif     ,Tamil Nadu,986.2,27402716.8,59130.4
Maize,Rabi       ,Tamil Nadu,986.2,35952927.6,77580.3
Moong(Green Gram),Kharif     ,Tamil Nadu,986.2,4375669.4,9441.95
Moong(Green Gram),Rabi       ,Tamil Nadu,986.2,23249910.2,50169.35
Onion,Kharif     ,Tamil Nadu,986.2,2013550.8,4344.9
Onion,Rabi       ,Tamil Nadu,986.2,3126080.6,6745.55
Other  Rabi pulses,Rabi       ,Tamil Nadu,986.2,3367434.2,7266.35
Other Cereals,Kharif     ,Tamil Nadu,986.2,273307,589.75
Other Cereals,Rabi       ,Tamil Nadu,986.2,691296.4,1491.7
Other Kharif pulses,Kharif     ,Tamil Nadu,986.2,4694392.4,10129.7
Potato,Kharif     ,Tamil Nadu,986.2,378574.8,816.9
Potato,Rabi       ,Tamil Nadu,986.2,194315.6,419.3
Ragi,Kharif     ,Tamil Nadu,986.2,9231937.4,19920.95
Ragi,Rabi       ,Tamil Nadu,986.2,3515847.2,7586.6
Rapeseed &Mustard,Rabi       ,Tamil Nadu,986.2,49471,106.75
Rice,Autumn     ,Tamil Nadu,986.2,45358743.4,97876.45
Rice,Summer     ,Tamil Nadu,986.2,38425828.8,82916.4
Rice,Winter     ,Tamil Nadu,986.2,195404610.8,421649.9
Sesamum,Kharif     ,Tamil Nadu,986.2,1533925.4,3309.95
Sesamum,Rabi       ,Tamil Nadu,986.2,5701816.6,12303.55
Small millets,Kharif     ,Tamil Nadu,986.2,2588874.2,5586.35
Small millets,Rabi       ,Tamil Nadu,986.2,55796.8,120.4
Sugarcane,Whole Year ,Tamil Nadu,986.2,26992513,58245.25
Sunflower,Kharif     ,Tamil Nadu,986.2,78829.2,170.1
Sunflower,Rabi       ,Tamil Nadu,986.2,738983.2,1594.6
Sweet potato,Whole Year ,Tamil Nadu,986.2,53201.6,114.8
Tapioca,Whole Year ,Tamil Nadu,986.2,12269456.8,26475.4
Tobacco,Whole Year ,Tamil Nadu,986.2,342404.2,738.85
Turmeric,Whole Year ,Tamil Nadu,986.2,3787532.2,8172.85
Urad,Kharif     ,Tamil Nadu,986.2,7217089,15573.25
Urad,Rabi       ,Tamil Nadu,986.2,64308893.8,138767.65
Arecanut,Kharif     ,Andhra Pradesh,899.2,188248.96,405.52
Arhar/Tur,Kharif     ,Andhra Pradesh,899.2,40818248.72,87929.39
Arhar/Tur,Rabi       ,Andhra Pradesh,899.2,1020254.4,2197.8
Bajra,Kharif     ,Andhra Pradesh,899.2,3518331.84,7579.08
Bajra,Rabi       ,Andhra Pradesh,899.2,788721.92,1699.04
Banana,Whole Year ,Andhra Pradesh,899.2,16780093.2,36147.15
Black pepper,Whole Year ,Andhra Pradesh,899.2,3030705.2,6528.65
Cashewnut,Kharif     ,Andhra Pradesh,899.2,19887231.6,42840.45
Castor seed,Kharif     ,Andhra Pradesh,899.2,6325405.52,13625.99
Castor seed,Rabi       ,Andhra Pradesh,899.2,181378.56,390.72
Coconut ,Whole Year ,Andhra Pradesh,899.2,17867677.52,38489.99
Coriander,Rabi       ,Andhra Pradesh,899.2,192199.44,414.03
Cotton(lint),Kharif     ,Andhra Pradesh,899.2,112322967.3,241962.61
Cotton(lint),Rabi       ,Andhra Pradesh,899.2,596694.24,1285.38
Cowpea(Lobia),Kharif     ,Andhra Pradesh,899.2,998956.16,2151.92
Cowpea(Lobia),Rabi       ,Andhra Pradesh,899.2,1166593.92,2513.04
Dry chillies,Kharif     ,Andhra Pradesh,899.2,23390792.08,50387.71
Dry chillies,Rabi       ,Andhra Pradesh,899.2,2902572.24,6252.63
Ginger,Kharif     ,Andhra Pradesh,899.2,50497.44,108.78
Gram,Rabi       ,Andhra Pradesh,899.2,78765529.04,169674.23
Groundnut,Kharif     ,Andhra Pradesh,899.2,97538210,210113.75
Groundnut,Rabi       ,Andhra Pradesh,899.2,16040494.64,34553.93
Guar seed,Kharif     ,Andhra Pradesh,899.2,171.76,0.37
Guar seed,Rabi       ,Andhra Pradesh,899.2,1030.56,2.22
Horse-gram,Kharif     ,Andhra Pradesh,899.2,14353467.92,30919.79
Horse-gram,Rabi       ,Andhra Pradesh,899.2,5151941.2,11098.15
Jowar,Kharif     ,Andhra Pradesh,899.2,6351856.56,13682.97
Jowar,Rabi       ,Andhra Pradesh,899.2,20261153.12,43645.94
Linseed,Kharif     ,Andhra Pradesh,899.2,22844.08,49.21
Maize,Kharif     ,Andhra Pradesh,899.2,16418710.16,35368.67
Maize,Rabi       ,Andhra Pradesh,899.2,35227976,75887
Mesta,Kharif     ,Andhra Pradesh,899.2,294396.64,634.18
Moong(Green Gram),Kharif     ,Andhra Pradesh,899.2,2309141.44,4974.28
Moong(Green Gram),Rabi       ,Andhra Pradesh,899.2,16065571.6,34607.95
Niger seed,Rabi       ,Andhra Pradesh,899.2,731010.56,1574.72
Oilseeds total,Kharif     ,Andhra Pradesh,899.2,122299475.1,263453.69
Oilseeds total,Rabi       ,Andhra Pradesh,899.2,24235336,52207
Onion,Kharif     ,Andhra Pradesh,899.2,4098880.64,8829.68
Onion,Rabi       ,Andhra Pradesh,899.2,2104060,4532.5
Other  Rabi pulses,Rabi       ,Andhra Pradesh,899.2,1849855.2,3984.9
Other Kharif pulses,Kharif     ,Andhra Pradesh,899.2,294568.4,634.55
Potato,Kharif     ,Andhra Pradesh,899.2,77807.28,167.61
Potato,Rabi       ,Andhra Pradesh,899.2,180348,388.5
Ragi,Kharif     ,Andhra Pradesh,899.2,4407361.6,9494.2
Ragi,Rabi       ,Andhra Pradesh,899.2,1355701.68,2920.41
Rapeseed &Mustard,Rabi       ,Andhra Pradesh,899.2,323252.32,696.34
Rice,Kharif     ,Andhra Pradesh,899.2,262178758,564777.25
Rice,Rabi       ,Andhra Pradesh,899.2,142484710.3,306936.09
Safflower,Rabi       ,Andhra Pradesh,899.2,121949.6,262.7
Sannhamp,Kharif     ,Andhra Pradesh,899.2,577972.4,1245.05
Sannhamp,Rabi       ,Andhra Pradesh,899.2,194604.08,419.21
Sesamum,Kharif     ,Andhra Pradesh,899.2,1064396.72,2292.89
Sesamum,Rabi       ,Andhra Pradesh,899.2,5666190.64,12205.93
Small millets,Kharif     ,Andhra Pradesh,899.2,3322525.44,7157.28
Small millets,Rabi       ,Andhra Pradesh,899.2,681200.16,1467.42
Soyabean,Kharif     ,Andhra Pradesh,899.2,232563.04,500.98
Soyabean,Rabi       ,Andhra Pradesh,899.2,4122.24,8.88
Sugarcane,Kharif     ,Andhra Pradesh,899.2,14756073.36,31787.07
Sunflower,Kharif     ,Andhra Pradesh,899.2,321019.44,691.53
Sunflower,Rabi       ,Andhra Pradesh,899.2,1166937.44,2513.78
Sweet potato,Kharif     ,Andhra Pradesh,899.2,9275.04,19.98
Sweet potato,Rabi       ,Andhra Pradesh,899.2,61833.6,133.2
Tapioca,Kharif     ,Andhra Pradesh,899.2,1199915.36,2584.82
Tapioca,Rabi       ,Andhra Pradesh,899.2,9275.04,19.98
Tobacco,Kharif     ,Andhra Pradesh,899.2,6269927.04,13506.48
Tobacco,Rabi       ,Andhra Pradesh,899.2,13406039.76,28878.87
Urad,Kharif     ,Andhra Pradesh,899.2,2617965.92,5639.54
Urad,Rabi       ,Andhra Pradesh,899.2,49454685.04,106533.73
Wheat,Rabi       ,Andhra Pradesh,899.2,6355.12,13.69
other oilseeds,Kharif     ,Andhra Pradesh,899.2,16795036.32,36179.34
Arecanut,Kharif     ,Puducherry,1317,8931.52,19.24
Bajra,Kharif     ,Puducherry,1317,2404.64,5.18
Bajra,Rabi       ,Puducherry,1317,171.76,0.37
Bajra,Summer     ,Puducherry,1317,1202.32,2.59
Banana,Kharif     ,Puducherry,1317,46890.48,101.01
Black pepper,Kharif     ,Puducherry,1317,1889.36,4.07
Cashewnut,Kharif     ,Puducherry,1317,24905.2,53.65
Coconut ,Whole Year ,Puducherry,1317,318958.32,687.09
Cotton(lint),Kharif     ,Puducherry,1317,85880,185
Dry chillies,Kharif     ,Puducherry,1317,343.52,0.74
Dry chillies,Rabi       ,Puducherry,1317,515.28,1.11
Dry chillies,Summer     ,Puducherry,1317,343.52,0.74
Groundnut,Kharif     ,Puducherry,1317,171.76,0.37
Groundnut,Rabi       ,Puducherry,1317,39676.56,85.47
Groundnut,Summer     ,Puducherry,1317,3606.96,7.77
Moong(Green Gram),Rabi       ,Puducherry,1317,2061.12,4.44
Moong(Green Gram),Summer     ,Puducherry,1317,108037.04,232.73
Onion,Kharif     ,Puducherry,1317,343.52,0.74
Onion,Summer     ,Puducherry,1317,171.76,0.37
Other  Rabi pulses,Rabi       ,Puducherry,1317,9103.28,19.61
Other Kharif pulses,Kharif     ,Puducherry,1317,858.8,1.85
Other Summer Pulses,Summer     ,Puducherry,1317,3606.96,7.77
Ragi,Kharif     ,Puducherry,1317,5496.32,11.84
Ragi,Rabi       ,Puducherry,1317,687.04,1.48
Ragi,Summer     ,Puducherry,1317,3950.48,8.51
Rice,Kharif     ,Puducherry,1317,742518.48,1599.51
Rice,Rabi       ,Puducherry,1317,1614028.72,3476.89
Rice,Summer     ,Puducherry,1317,776011.68,1671.66
Sesamum,Kharif     ,Puducherry,1317,343.52,0.74
Sesamum,Rabi       ,Puducherry,1317,1717.6,3.7
Sesamum,Summer     ,Puducherry,1317,34867.28,75.11
Small millets,Kharif     ,Puducherry,1317,2404.64,5.18
Sugarcane,Kharif     ,Puducherry,1317,224662.08,483.96
Sweet potato,Kharif     ,Puducherry,1317,858.8,1.85
Sweet potato,Rabi       ,Puducherry,1317,171.76,0.37
Tapioca,Kharif     ,Puducherry,1317,29199.2,62.9
Tapioca,Rabi       ,Puducherry,1317,1374.08,2.96
Turmeric,Kharif     ,Puducherry,1317,1889.36,4.07
Urad,Kharif     ,Puducherry,1317,343.52,0.74
Urad,Rabi       ,Puducherry,1317,25076.96,54.02
Urad,Summer     ,Puducherry,1317,55134.96,118.77
Arecanut,Rabi       ,Assam,2084.7,11546222.48,24872.51
Arhar/Tur,Kharif     ,Assam,2084.7,1001360.8,2157.1
Banana,Whole Year ,Assam,2084.7,8492673.2,18294.65
Black pepper,Whole Year ,Assam,2084.7,585701.6,1261.7
Castor seed,Kharif     ,Assam,2084.7,128476.48,276.76
Coconut ,Whole Year ,Assam,2084.7,3572608,7696
Cotton(lint),Kharif     ,Assam,2084.7,135518.64,291.93
Dry chillies,Whole Year ,Assam,2084.7,3406859.6,7338.95
Ginger,Whole Year ,Assam,2084.7,3054923.36,6580.82
Gram,Rabi       ,Assam,2084.7,373749.76,805.12
Jute,Kharif     ,Assam,2084.7,11035064.72,23771.39
Linseed,Rabi       ,Assam,2084.7,839047.6,1807.45
Maize,Kharif     ,Assam,2084.7,6292599.36,13555.32
Masoor,Rabi       ,Assam,2084.7,4143194.72,8925.14
Mesta,Kharif     ,Assam,2084.7,553238.96,1191.77
Moong(Green Gram),Rabi       ,Assam,2084.7,1861363.12,4009.69
Niger seed,Kharif     ,Assam,2084.7,981608.4,2114.55
Onion,Whole Year ,Assam,2084.7,1400702.8,3017.35
Other  Rabi pulses,Rabi       ,Assam,2084.7,2577430.56,5552.22
Peas & beans (Pulses),Rabi       ,Assam,2084.7,4790558.16,10319.67
Potato,Whole Year ,Assam,2084.7,17991860,38757.5
Rapeseed &Mustard,Rabi       ,Assam,2084.7,49371896.72,106355.39
Rice,Autumn     ,Assam,2084.7,21851822.48,47072.51
Rice,Summer     ,Assam,2084.7,67934171.68,146341.66
Rice,Winter     ,Assam,2084.7,322601006.1,694936.96
Sesamum,Kharif     ,Assam,2084.7,2065757.52,4449.99
Small millets,Kharif     ,Assam,2084.7,895213.12,1928.44
Sugarcane,Whole Year ,Assam,2084.7,5101787.28,10990.11
Sweet potato,Whole Year ,Assam,2084.7,846089.76,1822.62
Tapioca,Whole Year ,Assam,2084.7,564918.64,1216.93
Tobacco,Whole Year ,Assam,2084.7,19580.64,42.18
Turmeric,Whole Year ,Assam,2084.7,2809821.84,6052.83
Urad,Rabi       ,Assam,2084.7,9979256,21497
Wheat,Rabi       ,Assam,2084.7,1947071.36,4194.32
Arecanut,Rabi       ,Meghalaya,3844.4,3131356.56,6745.47
Arhar/Tur,Kharif     ,Meghalaya,3844.4,203707.36,438.82
Banana,Kharif     ,Meghalaya,3844.4,1251099.84,2695.08
Black pepper,Rabi       ,Meghalaya,3844.4,179660.96,387.02
Cashewnut,Rabi       ,Meghalaya,3844.4,1798498.96,3874.27
Castor seed,Rabi       ,Meghalaya,3844.4,12366.72,26.64
Coriander,Whole Year ,Meghalaya,3844.4,84162.4,181.3
Cotton(lint),Kharif     ,Meghalaya,3844.4,1244401.2,2680.65
Cowpea(Lobia),Rabi       ,Meghalaya,3844.4,288728.56,621.97
Dry chillies,Whole Year ,Meghalaya,3844.4,400887.84,863.58
Ginger,Kharif     ,Meghalaya,3844.4,1711244.88,3686.31
Gram,Rabi       ,Meghalaya,3844.4,321019.44,691.53
Jute,Kharif     ,Meghalaya,3844.4,1147356.8,2471.6
Linseed,Rabi       ,Meghalaya,3844.4,16317.2,35.15
Maize,Kharif     ,Meghalaya,3844.4,3121566.24,6724.38
Masoor,Rabi       ,Meghalaya,3844.4,216417.6,466.2
Mesta,Kharif     ,Meghalaya,3844.4,769484.8,1657.6
Onion,Rabi       ,Meghalaya,3844.4,96357.36,207.57
Peas & beans (Pulses),Rabi       ,Meghalaya,3844.4,401918.4,865.8
Potato,Summer     ,Meghalaya,3844.4,2160225.52,4653.49
Potato,Winter     ,Meghalaya,3844.4,1093424.16,2355.42
Rapeseed &Mustard,Rabi       ,Meghalaya,3844.4,1696817.04,3655.23
Rice,Autumn     ,Meghalaya,3844.4,5750524.8,12387.6
Rice,Rabi       ,Meghalaya,3844.4,2340745.28,5042.36
Rice,Winter     ,Meghalaya,3844.4,10973574.64,23638.93
Sesamum,Rabi       ,Meghalaya,3844.4,409132.32,881.34
Small millets,Rabi       ,Meghalaya,3844.4,496901.68,1070.41
Soyabean,Kharif     ,Meghalaya,3844.4,321706.48,693.01
Sugarcane,Whole Year ,Meghalaya,3844.4,21985.28,47.36
Sweet potato,Kharif     ,Meghalaya,3844.4,813111.84,1751.58
Tapioca,Kharif     ,Meghalaya,3844.4,931626.24,2006.88
Tobacco,Rabi       ,Meghalaya,3844.4,137923.28,297.11
Turmeric,Whole Year ,Meghalaya,3844.4,511844.8,1102.6
Wheat,Rabi       ,Meghalaya,3844.4,79696.64,171.68
Arecanut,Whole Year ,Goa,4489.5,338538.96,729.27
Banana,Whole Year ,Goa,4489.5,422529.6,910.2
Black pepper,Whole Year ,Goa,4489.5,144793.68,311.91
Cashewnut,Whole Year ,Goa,4489.5,9700317.76,20896.12
Coconut ,Whole Year ,Goa,4489.5,4558853.92,9820.54
Groundnut,Kharif     ,Goa,4489.5,343.52,0.74
Groundnut,Rabi       ,Goa,4489.5,28855.68,62.16
Other  Rabi pulses,Rabi       ,Goa,4489.5,755228.72,1626.89
Other Kharif pulses,Kharif     ,Goa,4489.5,171.76,0.37
Rice,Kharif     ,Goa,4489.5,4192833.36,9032.07
Rice,Rabi       ,Goa,4489.5,1766895.12,3806.19
Sugarcane,Whole Year ,Goa,4489.5,139297.36,300.07
Sweet potato,Whole Year ,Goa,4489.5,11336.16,24.42
other oilseeds,Whole Year ,Goa,4489.5,117483.84,253.08
Arecanut,Whole Year ,Karnataka,1422.3,85969658.72,185193.14
Arhar/Tur,Kharif     ,Karnataka,1422.3,279348574.6,601763.93
Bajra,Kharif     ,Karnataka,1422.3,56345524.48,121377.76
Bajra,Summer     ,Karnataka,1422.3,1872871.04,4034.48
Black pepper,Whole Year ,Karnataka,1422.3,27614542.24,59486.38
Cardamom,Whole Year ,Karnataka,1422.3,333042.64,717.43
Cashewnut,Whole Year ,Karnataka,1422.3,7822980.96,16852.02
Castor seed,Kharif     ,Karnataka,1422.3,711773.44,1533.28
Coconut ,Whole Year ,Karnataka,1422.3,104829250.2,225819.88
Coriander,Whole Year ,Karnataka,1422.3,104430.08,224.96
Cotton(lint),Kharif     ,Karnataka,1422.3,137934787.9,297134.79
Cotton(lint),Rabi       ,Karnataka,1422.3,2472141.68,5325.41
Cowpea(Lobia),Kharif     ,Karnataka,1422.3,5253451.36,11316.82
Cowpea(Lobia),Rabi       ,Karnataka,1422.3,1898119.76,4088.87
Cowpea(Lobia),Summer     ,Karnataka,1422.3,704731.28,1518.11
Dry chillies,Kharif     ,Karnataka,1422.3,12723637.28,27408.86
Garlic,Whole Year ,Karnataka,1422.3,293022.56,631.22
Ginger,Whole Year ,Karnataka,1422.3,3845362.88,8283.56
Gram,Rabi       ,Karnataka,1422.3,156067491.1,336195.69
Groundnut,Kharif     ,Karnataka,1422.3,71083563.04,153125.98
Groundnut,Rabi       ,Karnataka,1422.3,482473.84,1039.33
Groundnut,Summer     ,Karnataka,1422.3,19497851.68,42001.66
Horse-gram,Kharif     ,Karnataka,1422.3,16093740.24,34668.63
Horse-gram,Rabi       ,Karnataka,1422.3,13090173.12,28198.44
Jowar,Kharif     ,Karnataka,1422.3,30673759.6,66076.45
Jowar,Rabi       ,Karnataka,1422.3,125442167.8,270223.58
Jowar,Summer     ,Karnataka,1422.3,870651.44,1875.53
Linseed,Rabi       ,Karnataka,1422.3,140499.68,302.66
Maize,Kharif     ,Karnataka,1422.3,232789935,501468.77
Maize,Rabi       ,Karnataka,1422.3,19592663.2,42205.9
Maize,Summer     ,Karnataka,1422.3,5324560,11470
Mesta,Whole Year ,Karnataka,1422.3,9446.8,20.35
Moong(Green Gram),Kharif     ,Karnataka,1422.3,67387631.36,145164.32
Moong(Green Gram),Rabi       ,Karnataka,1422.3,1908081.84,4110.33
Moong(Green Gram),Summer     ,Karnataka,1422.3,53245.6,114.7
Niger seed,Kharif     ,Karnataka,1422.3,171588.24,369.63
Onion,Kharif     ,Karnataka,1422.3,26691675.76,57498.37
Onion,Rabi       ,Karnataka,1422.3,6344814.4,13667.8
Onion,Summer     ,Karnataka,1422.3,1769128,3811
Other  Rabi pulses,Rabi       ,Karnataka,1422.3,2270495.44,4891.03
Other Kharif pulses,Kharif     ,Karnataka,1422.3,6482222.4,13963.8
Potato,Kharif     ,Karnataka,1422.3,3056812.72,6584.89
Potato,Rabi       ,Karnataka,1422.3,768969.52,1656.49
Potato,Summer     ,Karnataka,1422.3,78666.08,169.46
Ragi,Kharif     ,Karnataka,1422.3,107486892.7,231544.89
Ragi,Rabi       ,Karnataka,1422.3,7190045.36,15488.57
Ragi,Summer     ,Karnataka,1422.3,1040006.8,2240.35
Rapeseed &Mustard,Kharif     ,Karnataka,1422.3,39504.8,85.1
Rice,Kharif     ,Karnataka,1422.3,165591583.1,356712.19
Rice,Rabi       ,Karnataka,1422.3,1935048.16,4168.42
Rice,Summer     ,Karnataka,1422.3,46839123.76,100899.37
Safflower,Rabi       ,Karnataka,1422.3,4567613.68,9839.41
Sannhamp,Whole Year ,Karnataka,1422.3,357432.56,769.97
